model,rmse,mae,mape,split
Naive,9452.790993327717,8512.93515625,8.715663953174154,21
Drift,9123.4855169146,8207.284283105728,8.403075193948837,21
ARIMA,8823.785766425852,7935.479841722312,8.127641941222773,21
ETS,9417.719698666067,8480.498088162516,8.682491508152502,21
ETS Damped,9818.74476150793,8849.403351196008,9.059645109270091,21
Naive,1423.0196210257752,1282.910546875,1.3374051338605797,22
Drift,1705.2117593084613,1492.9831839405451,1.5604008091046566,22
ARIMA,1622.28115723442,1448.717370120802,1.5112911268208546,22
ETS,1676.2252552880764,1471.1473081844845,1.537272672239543,22
ETS Damped,1423.3326542043415,1283.1093856724844,1.3376197886939802,22
Naive,1893.8104308714198,1617.7171875,1.7309969147828383,23
Drift,1993.7584884865582,1686.5310707255346,1.8099152718765992,23
ARIMA,2049.772889921503,1741.446291894385,1.8694574918626756,23
ETS,1962.0651772953197,1662.1021911470452,1.78260608202157,23
ETS Damped,1893.5420054615581,1617.4530867694375,1.7306994074957984,23
Naive,3807.796557982535,3171.31796875,3.09463558253847,24
Drift,3592.749893588868,3056.208678068014,2.9883919739021416,24
ARIMA,3698.902122359177,3128.423679996915,3.056881991888332,24
ETS,3603.5249593367653,3062.432066381801,2.994137454301852,24
ETS Damped,3806.086589996678,3170.3934050169432,3.093773553517531,24
Naive,13601.021144987993,11353.612109375,14.021138810466354,25
Drift,13996.310460006442,11704.557190992102,14.44977319233551,25
ARIMA,14150.287964301711,11893.214697878633,14.669312016887986,25
ETS,13952.783767017683,11665.890473513471,14.402554172836318,25
ETS Damped,13600.188805850892,11352.807371577737,14.02016975329055,25
Naive,2979.308473560172,2579.46875,3.496973111897063,26
Drift,3201.7097648372887,2787.6672276081763,3.778925762279719,26
ARIMA,3209.1059777645387,2791.4583027656,3.7843968578661653,26
ETS,2751.4665322004016,2393.3390723384873,3.2422668793922664,26
ETS Damped,2971.625639313818,2573.285414690775,3.4885254427381365,26
Naive,2785.108261452153,2229.29140625,3.1187954479826354,27
Drift,3056.9465069410717,2473.6000685406834,3.4589980858439637,27
ARIMA,3125.385077632492,2549.6411157925336,3.5640222049650823,27
ETS,2454.8700108310145,1937.877248148038,2.7122786542773984,27
ETS Damped,2781.2073435172856,2225.8100497276755,3.113943899951516,27
